name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
Kaya Skin Clinic,salud,outpatient_care_facility,"G8 Murjan, Dubai Marina Walk",Dubai,AE,25.08518409729004,55.14870834350586,http://www.kayaskinclinic.me,800 5292,6ef29a99-4f27-40df-9832-f2b3f857157b
Frosty Pops Dubai Marina,tiendas,pop_up_store,Dubai Marina,Dubai,AE,25.075502395629883,55.1385498046875,http://frostypops.ae,800 6837377,d297a833-d38e-4262-a293-d9f71dd3e416
Brands For Less,tiendas,home_goods_store,"Silicon Central, First Floor C-102 to C-107, Silicon Oasis",Dubai,AE,25.111196517944336,55.37466049194336,http://www.brandsforless.com/,048829276,473c4a5e-91db-460e-8070-3f8e61e18003
TARABAY GENERAL TRADING,tiendas,building_supply_store,IBN BATTUTA GATE OFFICE 507,Dubai,AE,25.040725708007812,55.116600036621094,http://www.tarabaytrading.com/,044385044,04b4b894-b2fe-4867-96eb-ba9480d09326
Etisalat,tiendas,mobile_phone_store,Arabian Center,Dubai,AE,25.23401641845703,55.43580627441406,http://www.etisalat.ae,800 101,d9b29ed2-da27-4761-b9b3-bf9ee122af1a
Tips & Toes,belleza,nail_salon,Dubai Festival City,Dubai,AE,25.222640991210938,55.351444244384766,http://tipsandtoes.com,04 223 3223,958fb99a-df2d-4e04-8706-c289b9d875e2
Asia Boy Massage,belleza,massage_therapy,Al Fattan Marine Tower Residents ll,Dubai,AE,25.07929229736328,55.136207580566406,https://www.themasseur.online/Mr.Bank,052 387 9415,98c2c85a-0e7b-480a-afe7-950a469c9f74
Nike Store,tiendas,sportswear_store,"Dubai Marina Mall, Ground floor",Dubai,AE,25.075897216796875,55.14164352416992,https://www.nike.ae/en/home/?cp=61872410739_seo_&y_source=1_NTU0OTgyMi00ODMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,043798458,e6bcca3c-193a-4609-bee5-379f0fa531b2
Olympe Spa,belleza,spa,DAMAC AYKON City,Dubai,AE,25.181232452392578,55.25333023071289,http://www.olympespa.com,04 541 0061,8bdd6a08-ae52-4a3d-8374-6d6b27e448e6
Kiko Milan,belleza,makeup_artist,Financial Center Rd,Dubai,AE,25.198009490966797,55.27787399291992,https://kiko-stores.kikocosmetics.com/en/united-arab-emirates/dubai-financial-center-rd,,44d40f62-c195-45d1-9b53-388051aa096c
Papa John's Pizza,belleza,pizza_delivery_service,2nd Floor Food Court Dubai Festival City Mall Crecsent Dr Dubai Festival City Du,Dubai,AE,25.222192764282227,55.35190200805664,https://www.papajohns.ae/pj/,600520001,31b258a1-f57c-4ee3-99a3-815334b6df35
Royal Fashion,servicios,tailor,"Jumeirah Lake Towers, C Cluster",Dubai,AE,25.067890167236328,55.13997268676758,http://www.royalfashion.biz,04 443 8766,88ab1abc-0ef3-44ac-b391-07f0dbf2d048
Papa John's Pizza,belleza,pizza_delivery_service,Enoc Petrol Station Al Quds St D91 Al Twar 2 Dubai,Dubai,AE,25.253223419189453,55.388492584228516,https://www.papajohns.ae/pj/,600520001,e1801ab7-81df-469a-9ed8-46f17a69f9f5
M U A Crystal Hair Extensions,belleza,hair_salon,Umm Suqeim St,Dubai,AE,25.11887550354004,55.20703887939453,http://www.muacrystalsalon.com,055 929 3000,3bde74fd-2849-41d5-9231-559073ae61b5
Tiger Sugar,restaurantes,bubble_tea_shop,Financial Center Street,Dubai,AE,25.197002410888672,55.2789306640625,http://tigersugar.ae,,4ce45492-6558-427d-9740-713203967340
Domino's,belleza,pizza_delivery_service,Dubai South,Dubai,AE,24.945327758789062,55.223228454589844,,,66cbe684-2605-44d5-b624-3a8c0d51a16f
Aster Medical Centre,salud,outpatient_care_facility,Dubai Silicon Oasis,Dubai,AE,25.116657257080078,55.39086151123047,http://www.astermedicalcentre.com,04 333 2122,f2b0c2c3-247d-423d-b071-6ff72eda9c66
Car Hire Dubai Airport Terminal 3 | SIXT rent a car,servicios,car_rental_service,Airport Road D89 Al Garhoud,Dubai,AE,25.245643615722656,55.35930252075195,https://www.sixt.co.uk/car-hire/united-arab-emirates/dubai/dubai-int-airport-terminal-3/,,d86bfabc-b49b-4121-beb9-33e147ce507b
Massage Al Khail Gate Full Service,belleza,spa,"Al Qouz, Dubai, UAE",Dubai,AE,25.139928817749023,55.25477600097656,https://linktr.ee/al_khail_gate_massage_centre,055 439 8770,a5a356f3-7807-40e3-94d0-b3748de6d302
Lido,restaurantes,british_restaurant,"Mina Rashid, Bur Dubai",Dubai,AE,25.250289916992188,55.27946853637695,https://www.qe2.com/en/restaurants/lido/,045268888,c5ca44fc-db0f-4cdb-b80c-6368bc70e315
Ardene,tiendas,designer_clothing,Khalid Bin Al Waleed Road 22700,Dubai,AE,25.254919052124023,55.303245544433594,https://en-ae.6thstreet.com/,0565090485,e72c332d-f788-48b6-a138-865fdfa0a0f5
Zafran Indian Kitchen - City Centre Mirdif,restaurantes,asian_fusion_restaurant,"Mirdif City Centre, Level 1, Sheikh Mohammed Bin Zayed Rd, Dubai",Dubai,AE,25.21672248840332,55.4083251953125,https://www.zafranrestaurants.com/,042840987,576b57ef-9298-439e-bd4d-ab8a29069b6e
Latino House,restaurantes,latin_american_restaurant,Al Murooj Rotana,Dubai,AE,25.202796936035156,55.27701187133789,http://www.rotana.com,04 321 1111,7e2b8d13-75d2-4ddd-9f97-6333bdbb8a7d
Essence Healing Spa,belleza,massage_therapy,Jumeirah Golf Estates,Dubai,AE,25.014774322509766,55.19287109375,http://www.essencehealingdubai.com,054 585 8818,8b2ea74a-9311-4cf3-b4e2-4c1095bbc97c
Baskent Turkish Kitchen,restaurantes,turkish_restaurant,Lakeshore Tower Unit B09 Cluster Y Jumeirah Lake Towers,Dubai,AE,25.078845977783203,55.15327453613281,http://www.baskentdubai.ae,054 517 0606,b4a0b95e-c8a7-4ad0-9d8b-4c3fb0ee61fe
AL RIZQ AL HALAL TRADING CO LLC,servicios,commercial_industrial,15 Al Burj St,Dubai,AE,25.269330978393555,55.300323486328125,http://arhtrd.com,04 227 3193,0bdc45bc-3984-43e3-92c5-96f4719f6ef0
Onelife Home Health Care Center Co LLC,salud,outpatient_care_facility,"Ibn E Battuta Gate Building, Office 711A",Dubai,AE,25.040668487548828,55.116172790527344,http://www.onelifeuae.com,04 335 3378,c4e3437f-4c7a-41d2-8529-8e1acc35ee66
Arabian Center / العربي سنتر,tiendas,shopping_mall,Al Khawaneej Rd,Dubai,AE,25.23525619506836,55.43629837036133,http://arabiancenter.com,04 284 5555,cfb3dcc7-99e8-4d95-878d-edbee4b67a04
Body & Mind Massage Center,belleza,massage_therapy,JLT,Dubai,AE,25.074310302734375,55.14442443847656,http://bodynsoul.ae,04 447 8855,9205d263-88aa-40a9-b6ef-fd0b051b673e
Fumé Neighborhood Eatery,restaurantes,comfort_food_restaurant,Pier 7,Dubai,AE,25.258089065551758,55.29755783081055,http://www.fume-eatery.com,04 421 5669,0d6ef8c1-b0a6-4854-8d97-d57a127440fd
Prime Hospital,salud,hospital,"No. 203, Shk. Saud Building, Opposite Al Reef Mall,",Dubai,AE,25.1823787689209,55.24120330810547,https://primehealth.ae/prime-hospital,04 707 0999,528d2630-084a-40c9-a929-a4c5aec723f7
Kiko Milano,tiendas,shoe_store,"Mall of the Emirates, G Floor, Al Barsha",Dubai,AE,25.118106842041016,55.20060729980469,https://kiko-stores.kikocosmetics.com/en/united-arab-emirates/dubai-mall-of-the,043209236,1e377064-4b84-4e94-a7be-72bc4a3db9b9
Marina Social,restaurantes,european_restaurant,"Level 1, InterContinental Dubai Marina",Dubai,AE,25.078771591186523,55.138519287109375,http://www.ihg.com/intercontinental/hotels/gb/en/dubai/dxbpl/hoteldetail,04 446 6664,33406e10-4999-4b2e-a77d-796d2d653bd0
Crypto Mine Trading FZCO,servicios,electronic_equipment_supplier,"Shop G9, HDS Tower, Cluster F, JLT",Dubai,AE,25.07199478149414,55.14229202270508,https://cryptomine.ae,050 625 1297,24755c19-e558-4d32-bcf7-0cd511e1da28
Afghan Palace Restaurant - Oud Metha,restaurantes,afghani_restaurant,"2nd Street, 69 Oud Metha Road, Al Waleed Hotel Apartments",Dubai,AE,25.259889602661133,55.29359817504883,https://afghanpalace.ae/,045484004,a64fc8f1-7cba-4e76-9c69-f4e28cbcb38f
AXS Medical Fitness Centre,salud,outpatient_care_facility,Block 8,Dubai,AE,25.10224723815918,55.16154479980469,http://axs.force.com,800 4297,e229c422-fe0d-4f1c-aefe-c606c70e5755
risen-meraki,servicios,plumbing,"Blue waves office, 204, 48 2nd floor, Wadi Al Safa 5, Dubai Land Residence Complex, Dubai, United Arab Emirates",Dubai,AE,25.168926239013672,55.25524139404297,https://risenmeraki.org,052 716 4315,25b540f3-28f0-4cf8-be25-0dba4983b0dd
Mint,restaurantes,international_fusion_restaurant,Dubai Mall Opposite To Dior Kids,Dubai,AE,25.19599723815918,55.27843475341797,https://www.mintconcept.ae/,043380839,6bbffdf8-43e0-4821-9f0f-099aafbfeaf6
Bird Marketing,servicios,internet_marketing_service,IT PLAZA - G-014 - Dubai Silicon Oasis,Dubai,AE,25.14500617980957,55.197505950927734,https://bird.ae,800 0320322,b3e33d46-29bd-44f5-8c5d-8eb05d195ad9
Savan Specialist Oncall Doctor,salud,home_health_care,"1003 A, The Dome Tower, Cluster N",Dubai,AE,25.06264877319336,55.13841247558594,https://www.savan.ae/,0589089025,2de880ba-0f0c-4e22-94f7-1104b1b54ccb
Diwanee DXB Studio,tiendas,camera_and_photography_store,Office Park Block A 304,Dubai,AE,25.104753494262695,55.16883850097656,http://www.diwanee.com,055 932 9956,b512ca15-7f2d-4628-8784-6e2c21de480f
Cold Stone Creamery,restaurantes,ice_cream_shop,"Arabian Ranches 2 , The Ranches Souk,Level 1",Dubai,AE,25.029109954833984,55.27055358886719,https://www.coldstonearabia.com/,0564041702,28d3899d-1e6a-43be-b341-26ff4d58a7ab
ALPLA Dubai,servicios,packaging_contractors_and_service,Saih Shuaib 4 - Plot No. 533 3559. Building B. Dubai Industrial City,Dubai,AE,24.81662368774414,55.0943489074707,https://www.alpla.com/africa-middle-east-turkey/middle-east-and-northern-africa,+971 4245 6300,38517a9f-fcd3-4c98-8629-8a2565c8f59d
Cafe Isan - JVC,restaurantes,thai_restaurant,Circle Mall,Dubai,AE,25.06644058227539,55.215965270996094,https://cafeisan.co,04 578 9832,f4da4d79-4023-47a1-8e8c-1098e302e6b5
Adidas,tiendas,sporting_goods_store,JBR,Dubai,AE,25.075010299682617,55.13134765625,http://adidas.ae,04 368 3996,e893b22a-a010-4ccd-8292-1eec00af4a61
African restaurant,restaurantes,african_restaurant,Pacific Hotel,Dubai,AE,25.272598266601562,55.30217361450195,http://www.ourafricanfoods.com,04 266 6501,522e337d-4c12-4717-aad8-c68337bd9665
Buffalo Wings & Rings Dubai,restaurantes,sports_bar,"Liberty House, Level C, DIFC",Dubai,AE,25.209318161010742,55.27711868286133,https://ae.bwr-intl.com,04 359 6900,ed10eba5-8042-4d2d-8e61-10442393a032
Benefit Cosmetics Brow Bar,belleza,waxing,"Sephora City Walk, Al Wasl, Jumeirah",Dubai,AE,25.209802627563477,55.26050567626953,https://www.benefitcosmetics.com/en-ae?y_source=1_MjI1MDQ3NzgtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,043440794,4198e335-bfa0-48be-8a5e-02bd816d6319
DSV,servicios,freight_and_cargo_service,"Dubai Airport Freezone (DAFZA),D22/D23",Dubai,AE,25.264541625976562,55.36582946777344,https://www.dsv.com/en-ae/,+96 47833228832,ac27c44d-5976-4b5a-ba52-fdc72d037927
Sun Vibe,restaurantes,pub,"Jumeirah Beach Road, Jumeira 1",Dubai,AE,25.21683120727539,55.25033950805664,https://www.mandarinoriental.com/dubai/jumeira-beach/fine-dining/bars/sun-vibe?htl=MODUB&kw=MODUB_sun_vibe&eng=bing&src=local,047772223,9da32077-06b4-438a-9b70-40b281e0eef5
Vida Food Truck,restaurantes,food_truck_stand,Mohammed Bin Rashid Boulevard,Dubai,AE,25.184560775756836,55.25830078125,http://www.vida-hotels.com,,1ae0eb6a-b8a9-4157-ac0a-8887282931cc
DNC EVENTS,servicios,party_and_event_planning,"Cluster F, Office 301 HDS Tower",Dubai,AE,25.072242736816406,55.142330169677734,https://www.dncevents.net/,045841287,60536470-ba6f-4a6d-9915-bb8142a0cc07
Jara by Martín Berasategui,restaurantes,spanish_restaurant,"Marasi Drive, Business Bay",Dubai,AE,25.188400268554688,55.288936614990234,https://www.dorchestercollection.com/dubai/the-lana/dining/jara-by-martin-berasategui,045417755,d8227b27-c160-41b8-9267-130872436d89
Benefit Cosmetics Brow Bar,belleza,waxing,"Dubai Hills Mall, Ground Floor, inside Sephora, Dubai Hills Mall",Dubai,AE,25.101978302001953,55.23972702026367,https://www.benefitcosmetics.com/en-ae?y_source=1_NDgxMDIyNzEtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,043850607,26d93258-8ddd-442a-80ae-dc50a8bb48a9
UP AND RUNNING Integrated Sports Medical Ceneter,salud,outpatient_care_facility,Umm Suqueim,Dubai,AE,25.148195266723633,55.211299896240234,http://www.upandrunningdubai.com,04 328 4600,19986eba-f4ab-42d3-be98-1a47f29d0224
Bitter Honey,restaurantes,cocktail_bar,"Marasi Drive, Business Bay",Dubai,AE,25.188457489013672,55.28879928588867,https://www.dorchestercollection.com/dubai/the-lana/dining/bitter-honey,045417755,06d9de79-97a5-420c-8916-017a63d77abf
Dr. Joy Dental Clinic Jumeirah Dubai,salud,dental_clinic,"Villa No. 1021, Al Wasl Road, Umm Suqeim 2, Jumeirah",Dubai,AE,25.20121955871582,55.250022888183594,https://www.drjoydentalclinic.com/our-clinics/jumeirah-clinic/,04 328 5332,68283d4f-00da-428d-be0f-884cdae7f4f4
Alghazi Aluminium & Metal Industries,servicios,building_or_construction_service,Warehouse No. 2 Malak Zarco Real Estate LLC - Ras Al Khor Industrial Second,Dubai,AE,25.2689151763916,55.290771484375,https://alghazigroup.ae,04 339 3304,acb5bd03-6220-4e1b-a6fd-4deb6f94b201
Alien Burger - آليان برجر - DSO,belleza,food_delivery_service,"Souq Extra, 55 Street, Dubai Silicon Oasis",Dubai,AE,25.118749618530273,55.39630889892578,https://www.alienburger.com/,0561882437,1cbe9913-5df4-422c-941e-76e4b2d09595
Benefit Cosmetics Brow Bar,belleza,waxing,"Sephora Dubai Festival City, Festival Waterfront Center, Al Rebat Street",Dubai,AE,25.221948623657227,55.352787017822266,https://www.benefitcosmetics.com/en-ae?y_source=1_MjI1MDQ3NzMtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,042326024,a10b8eb3-4dca-412c-aa4a-d913f3847577
Domino's,belleza,pizza_delivery_service,Production City,Dubai,AE,25.03475570678711,55.2037353515625,,,984d02fb-ac7d-43ea-9c4d-05cb91cb142a
Web Design company Dubai | Webnetive,servicios,web_designer,Office #219 Al Ahli House 2 - النهدة - دبي,Dubai,AE,25.26522445678711,55.37738037109375,https://www.webnetive.com/,0561375072,8b2c32bc-4cfc-4140-a262-f9d0718cd212
Delice,restaurantes,dessert_shop,The Dubai Mall,Dubai,AE,25.19554328918457,55.27854537963867,http://delice-sweets.com,04 330 8340,5e85358a-40ae-4706-9341-5f17c4b70096
Emporio Armani,tiendas,fashion_boutique,Financial Center Rd,Dubai,AE,25.000993728637695,55.18501281738281,https://www.armani.com/armanicom/unisex/emporio-armani/kids_section,+97143399365,bad5ed30-497f-404c-83f6-80522806dfe6
Max's All About Chicken,restaurantes,filipino_restaurant,"Ibn Batutta Mall, Ground Floor, Tunisia Court, Sheikh Zayed Rd, Jebel Ali Village",Dubai,AE,25.042943954467773,55.11866760253906,https://www.maxsallaboutchicken.com,056 501 6407,04184899-3581-4a98-b2a5-a04733e8dd09
Hamasat Oud,belleza,spa,Avenue Mall - Dubai\nGalleria Mall - Dubai\nMy City Center Masdar - Abu Dhabi ,Dubai,AE,25.12740135192871,55.36007308959961,http://www.hamasatoud.com/,+971585843277,ff480c96-12c7-4e02-9b9d-a86ebd24b30a
Fio de Ouro skincare,belleza,personal_or_beauty_service,Damac Hills 2,Dubai,AE,24.986988067626953,55.37323760986328,http://www.fiodeouro.net,050 943 5262,441dc017-170f-4dee-b24a-c12a685d6a85
Sinta Medical Center LLC,salud,outpatient_care_facility,Al Rigga Rd.,Dubai,AE,25.267311096191406,55.31724548339844,https://sintamedicalcenter.ae,04 327 5100,a5c7f808-1100-49ac-bbe5-f24506aaa338
Byron Bathers Club,restaurantes,australian_restaurant,"Al Manhal Building, Shoreline 4",Dubai,AE,25.108623504638672,55.14903259277344,https://eatx.com/byron-bathers-club,04 323 7378,3a2931a7-2a6e-4d1e-8a7c-e51c13dc5081
Multibank Group,servicios,stock_and_bond_broker,Business Bay,Dubai,AE,25.17804718017578,55.271827697753906,https://multibankfx.com/,0585848650,1c91b16d-d383-491f-9d89-7b5ac97cb50b
Pret A Manger,restaurantes,sandwich_shop,"Terminal 1, Concourse D",Dubai,AE,25.249671936035156,55.35287857055664,,,66910be5-3158-4282-926b-cf1389cc2e4b
Villa Verona,restaurantes,restaurant,"The Walk, Ground Floor, Dubai, United Arab Emirates",Dubai,AE,25.07880973815918,55.13375473022461,https://www.jbr-restaurants.com/villa-verona,043182319,03d2a105-911b-45a5-93d4-e39b28c1e818
Emirates Modern Poultry Co.,servicios,urban_farm,al maroom road,Dubai,AE,24.978662490844727,55.429447174072266,,+97148326565,f642ada9-0ec5-457e-b627-9b3861201672
Essence Beauty Salon,belleza,hair_salon,"Villa 8, 160C, 2 D Street, Off Al Safa Street",Dubai,AE,25.212987899780273,55.25858688354492,http://essencemassagedubai.com,04 385 4888,88a476c1-5cb9-423c-8ebf-69400a1b86c5
COS,tiendas,childrens_clothing_store,Al Marsa Street,Dubai,AE,25.0762882232666,55.13966751098633,http://www.cos.com/?utm_source=overture_location&utm_medium=organic&utm_campaign=AE0378,+971-4419-0825,61117063-a086-4d86-a716-7f4e9d4c9c9b
GUESS,tiendas,designer_clothing,Al Ain Road,Dubai,AE,25.2224063873291,55.35154342651367,https://www.guess.eu/-/home,0501387920,9199acf2-f725-40de-b12a-7b1d6f1c82d4
Regus,servicios,rental_service,"Down Town Jebel Ali St 19, JAFZA View, 1st Floor Tower 18",Dubai,AE,24.983652114868164,55.09391784667969,https://www.regus.com/ar-AE/united-arab-emirates/dubai/jafza-view-18--19-1382?utm_source=bing_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,048137813,525287e2-462b-407a-9943-9ddef8a3af4f
The Locale,restaurantes,arabian_restaurant,Andaz Dubai The Palm,Dubai,AE,25.11726188659668,55.134483337402344,https://www.hyattrestaurants.com/en/dining/uae/dubai/multi-cuisine-restaurant-in-healthy-the-locale,045814038,d4bf8782-3179-4cc6-a79f-d0eb53da298f
Papa Johns,belleza,pizza_delivery_service,Enoc 85 Szr Tecom Al Barsha Heights,Dubai,AE,25.21544647216797,55.278907775878906,https://www.papajohns.ae/,600520001,4e49c705-c6d8-40a7-8a4f-8608444d5e72
Technoavia,salud,occupational_medicine,Umm Suqeim Street,Dubai,AE,25.11766815185547,55.21284484863281,,043477843,7e51010c-82a2-444f-94db-6a4c98fb270b
Al Jaber Optical,tiendas,eyewear_store,Nakheel Mall,Dubai,AE,25.11405372619629,55.13875961303711,https://www.aljaberoptical.com,055 600 2061,3983a124-495d-4221-bb5b-430feb779942
The Nail Spa,belleza,nail_salon,The Dubai Mall,Dubai,AE,25.197736740112305,55.279571533203125,http://thenailspa.com,600 544001,81f40f61-b8fa-4464-a2cb-6b745682f785
Flying Colours,tiendas,office_supply_store,"Dubai Media City, CNBC Building",Dubai,AE,25.09560775756836,55.157325744628906,http://flyingcoloursme.com,04 390 3067,fa5c91cc-8a3c-4022-aeae-4312d5206eaf
Pastels Salon,belleza,hair_salon,1186 Al Wasl Road,Dubai,AE,25.222457885742188,55.26174545288086,http://www.pastels-salon.com,04 388 3534,1fdc5c48-9839-46ac-bc5e-22b21d160900
Jashanmal Bookstores,tiendas,bookstore,Mall of the Emirstes,Dubai,AE,25.11762046813965,55.202606201171875,http://jashanmalgroup.com,04 417 4800,bd30396e-2b81-4f78-aa9a-b563644c204c
Wingstop,restaurantes,chicken_wings_restaurant,Al Ghurair Centre,Dubai,AE,25.26848030090332,55.31837844848633,http://wingstop.ae,04 348 8772,cf9c6f6e-7456-4ac8-b7c5-5cc75dd16ccc
